OBJECTID,WELLWIDTH,WELLLENGTH,PAREAWIDTH,LOWWELL,SPECIES,STNAME,Location 1,StreetNumber,Address,Latitude,Longitude
9243,0.0,0.0,3.0,,Persea sp / avocado,PATTERSON AV,"3724
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3724,"3724 PATTERSON AV, Oakland, CA",37.7920488,-122.19624233788014
9296,0.0,0.0,6.0,,Malus sp,DETROIT AV,"4218
Oakland, Ca
(37.80505999961946, -122.27301999967312)",4218,"4218 DETROIT AV, Oakland, CA",37.7971151,-122.1890293
9462,0.0,0.0,2.0,,Malus sp,OAKMORE RD,"3906
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3906,"3906 OAKMORE RD, Oakland, CA",37.807013850000004,-122.21475756096399
9563,0.0,0.0,4.0,,Citrus sp,COOLIDGE AV,"4010
Oakland, Ca
(37.80505999961946, -122.27301999967312)",4010,"4010 COOLIDGE AV, Oakland, CA",37.8036779,-122.20320043920552
9593,0.0,0.0,5.0,,Prunus cerasifera,,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)",0,,46.3144754,11.0480288
9761,0.0,0.0,2.0,,Malus sp,VERNON ST,"396
Oakland, Ca
(37.80505999961946, -122.27301999967312)",396,"396 VERNON ST, Oakland, CA",37.81615695,-122.25410684979661
9763,2.0,2.0,0.0,,Malus sp,HARRISON ST,"3233
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3233,"3233 HARRISON ST, Oakland, CA",37.81800773158825,-122.25637719684504
9894,0.0,0.0,4.0,,Malus floribunda,3RD ST,"200
Oakland, Ca
(37.80505999961946, -122.27301999967312)",200,"200 3RD ST, Oakland, CA",37.79484155,-122.27045313819642
9910,0.0,0.0,2.0,,Malus floribunda,ADAMS ST,"395
Oakland, Ca
(37.80505999961946, -122.27301999967312)",395,"395 ADAMS ST, Oakland, CA",37.81574205,-122.25395988872944
9935,2.0,2.0,0.0,High,Malus sp,HARRISON ST,"3100
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3100,"3100 HARRISON ST, Oakland, CA",37.8173166,-122.25692811056776
13906,0.0,0.0,6.0,,Citrus sp,TRESTLE GLEN RD,"1707
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1707,"1707 TRESTLE GLEN RD, Oakland, CA",37.813018650000004,-122.22110692020445
10460,6.0,3.0,0.0,,Malus sp,MARKET ST,"1702
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1702,"1702 MARKET ST, Oakland, CA",37.81032835,-122.27947383672154
10731,0.0,0.0,2.0,,Malus sp,ARLINGTON AV,"831
Oakland, Ca
(37.80505999961946, -122.27301999967312)",831,"831 ARLINGTON AV, Oakland, CA",37.842438349999995,-122.27143532336675
10766,0.0,0.0,5.0,,Malus floribunda,62ND ST,"1153
Oakland, Ca
(37.80505999961946, -122.27301999967312)",1153,"1153 62ND ST, Oakland, CA",37.8443216,-122.28540264217054
10919,0.0,0.0,32.0,,Malus sp,46TH ST,"540
Oakland, Ca
(37.80505999961946, -122.27301999967312)",540,"540 46TH ST, Oakland, CA",37.83400315,-122.26443386258043
